LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(pixel/min),(pixel),(min),(pixel),(pixel),(pixel),
ID15368 → ID15559,217,15368,15559,5.645706447823398,1.021606016635797,2.3760695376658063,2.3760695376658063,52.5,372.5435628489257,467.4338212587239,0.0,
ID12671 → ID12967,217,12671,12967,2.987649713518216,2.6144017539645916,1.7284819100928468,1.7284819100928468,42.5,362.4213275587582,480.2117775373703,0.0,
ID17023 → ID17233,217,17023,17233,4.50724807945455,0.2821415920023359,2.1230280449053307,2.1230280449053307,58.5,367.92310223492143,470.41868508487056,0.0,
ID15559 → ID15828,217,15559,15828,1.0857203726515274,1.1276597653051976,1.0419790653614531,1.0419790653614531,53.5,373.751636337434,466.56537489027755,0.0,
ID16097 → ID16453,217,16097,16453,5.895741683052966,2.082263236009223,2.4281148414053577,2.4281148414053577,55.5,373.21326454932955,466.52491244698626,0.0,
ID16453 → ID16643,217,16453,16643,11.66853442240809,0.8557469365108248,3.4159236558225494,3.4159236558225494,56.5,370.55989880233835,466.2607100742182,0.0,
ID13698 → ID13956,217,13698,13956,0.005519086617059924,2.872397278937937,0.07429055536917142,0.07429055536917142,46.5,364.93186979779114,475.04190227917275,0.0,
ID17526 → ID17793,217,17526,17793,6.026287283364961,2.6027249937735504,2.4548497476149045,2.4548497476149045,60.5,366.79060688020627,471.50186163111516,0.0,
ID20358 → ID20670,217,20358,20670,8.739769177697807,0.26983068911110714,2.9563100611569495,2.9563100611569495,70.5,368.1347596734071,471.49688473843065,0.0,
ID17793 → ID18053,217,17793,18053,0.2565987200263367,0.4431660871952735,0.5065557422696308,0.5065557422696308,61.5,367.4398054338793,470.1938253027007,0.0,
ID20914 → ID21220,217,20914,21220,6.084617186416813,2.135382146227553,2.466701681682812,2.466701681682812,72.5,367.6017464833254,467.9772573325205,0.0,
ID6934 → ID7097,217,6934,7097,3.7998964482515,1.2113546426723452,1.9493323083177736,1.9493323083177736,20.5,363.59233116556504,473.1827442812714,0.0,
ID10465 → ID10717,217,10465,10717,1.9850163758593111,0.7635713821399615,1.4089060919235572,1.4089060919235572,34.5,363.7575375042701,472.77058395604183,0.0,
ID3192 → ID3425,217,3192,3425,5.224149689139771,1.1338170561114678,2.2856398861456215,2.2856398861456215,4.5,382.10384775412,487.5447994114703,0.0,
ID19857 → ID20358,217,19857,20358,0.4697565898870236,1.2374248813912652,0.6853879119790658,0.6853879119790658,69.5,369.83643170024243,472.1158718394439,0.0,
ID21220 → ID21494,217,21220,21494,4.800769237705969,1.0406847447383494,2.191065776672615,2.191065776672615,73.5,368.6974474474474,469.6764264264264,0.0,
ID18053 → ID18268,217,18053,18268,2.232127234073001,0.3021568002866837,1.4940305331796273,1.4940305331796273,62.5,368.00248330783165,469.3772243880606,0.0,
ID6655 → ID6934,217,6655,6934,0.2613220992887625,0.11874471440726311,0.5111967324707412,0.5111967324707412,19.5,362.55148416241605,472.85532855073757,0.0,
ID22568 → ID22788,217,22568,22788,0.1526502076197867,1.1796403391919406,0.39070475761089307,0.39070475761089307,78.5,375.9742335562988,474.48376997398736,0.0,
ID23192 → ID23429,217,23192,23429,28.68853840733186,0.7489396653307199,5.356168257936998,5.356168257936998,80.5,378.4285945592715,469.74829407624156,0.0,
ID5650 → ID5852,217,5650,5852,5.570278160816045,0.6723850905911065,2.3601436737656556,2.3601436737656556,15.5,363.1738099961391,475.26411121136687,0.0,
ID24099 → ID24385,217,24099,24385,9.687807271364456,0.19378412613483623,3.1125242603656047,3.1125242603656047,83.5,380.61132761087265,463.97125178826894,0.0,
